Brand,Calories,Carbohydrates,Dist Type CODE,Dist Type,Light,Number of Records,Pct Alcohol
Anchor Steam,153,16,1,National,No,1,4.9
Anheuser Busch Natural Ice,157,8.9,1,National,No,1,5.9
Anheuser Busch Natural Light,95,3.2,1,National,Yes,1,4.2
Bud Dry,130,7.8,1,National,No,1,5
Bud Ice,123,8.9,1,National,No,1,5.5
Bud Ice Light,115,7.5,1,National,Yes,1,5
Bud Light,110,6.6,1,National,Yes,1,4.2
Bud Light Lime,116,8,1,National,Yes,1,4.2
Budweiser,145,10.6,1,National,No,1,5
Budweiser Select,99,3.1,1,National,Yes,1,4.3
Budweiser Select 55,55,1.9,1,National,Yes,1,2.4
Busch Beer,133,10.2,1,National,No,1,4.6
Busch Ice,169,12.5,1,National,No,1,5.9
Busch Light,95,3.2,1,National,Yes,1,4.1
Carling Black Label,138,12.5,1,National,No,1,4.3
Colt 45 Malt Liquor,174,11.1,1,National,No,1,6.1
Coors,149,12.2,1,National,No,1,4.9
Coors Extra Gold Lager,152,12.5,1,National,No,1,5
Coors Light,104,5.3,1,National,Yes,1,4.2
Hamm's Beer,144,12.1,1,National,No,1,4.7
Hamm's Golden Draft,144,12.1,1,National,No,1,4.7
Hamm's Special Light,110,8.3,1,National,Yes,1,3.9
Icehouse,132,8.7,1,National,No,1,5
Icehouse 5,149,9.8,1,National,No,1,5.5
Icehouse Light,103,5.5,1,National,Yes,1,4.1
Magnum Malt Liquor,157,11.2,1,National,No,1,5.6
Michael Shea's,145,13,1,National,No,1,4.6
Michelob Amber Boch,166,15,1,National,No,1,5.2
Michelob Beer,155,13.3,1,National,No,1,5
Michelob Golden Draft,152,14.1,1,National,No,1,4.7
Michelob Golden Draft Light,110,7,1,National,Yes,1,4.1
Michelob Honey Lager,175,17.9,1,National,No,1,4.9
Michelob Light,113,6.7,1,National,Yes,1,4.3
Michelob Ultra,95,2.6,1,National,Yes,1,4.1
Mickey's Fine Malt Liquor,157,11.2,1,National,No,1,5.6
Mickey's Ice,157,11.8,1,National,No,1,5.8
Miller Chill,110,6.5,1,National,No,1,4.2
Miller Genuine Draft,143,13.1,1,National,No,1,4.7
Miller Genuine Draft 64,64,2.4,1,National,Yes,1,2.8
Miller Genuine Draft Light,110,7,1,National,Yes,1,4.2
Miller High Life,143,13.1,1,National,No,1,4.7
Miller High Life Light,110,7,1,National,Yes,1,4.2
Miller Lite,96,3.2,1,National,Yes,1,4.2
Miller Lite Brwer's Collection Amber,110,6.2,1,National,Yes,1,4.2
Miller Lite Brwer's Collection Blonde,110,6.2,1,National,Yes,1,4.2
Miller Lite Brwer's Collection Wheat,110,6.2,1,National,Yes,1,4.2
Milwaukee's Best,128,11.4,1,National,No,1,4.3
Milwaukee's Best Ice,144,7.3,1,National,No,1,5.9
Milwaukee's Best Light,98,3.5,1,National,Yes,1,4.5
O'Doul's,70,13.3,1,National,No,1,0.4
Old Milwaukee Beer,146,12.9,1,National,No,1,4.5
Old Milwaukee Light,114,8.3,1,National,Yes,1,3.8
Olde English 800,160,10.5,1,National,No,1,5.9
Olde English 800 7.5,202,13.4,1,National,No,1,7.5
Olde English High Gravity 800,220,14.6,1,National,No,1,8
Rolling Rock Premium Beer,120,10,1,National,No,1,4.5
Sam Adams Boston Ale,160,19.9,1,National,No,1,4.9
Sam Adams Boston Lager,160,18,1,National,No,1,4.8
Sam Adams Cherry Wheat,166,16.9,1,National,No,1,5.2
Sam Adams Cream Stout,195,23.9,1,National,No,1,4.7
Sam Adams Light,124,9.7,1,National,Yes,1,4.1
Schlitz,146,12.1,1,National,No,1,4.7
Sierra Nevada Anniversary Ale,190,17.3,1,National,No,1,5.9
Sierra Nevada Bigfoot,330,32.1,1,National,No,1,9.6
Sierra Nevada Celebration Ale,214,19.4,1,National,No,1,6.8
Sierra Nevada Draft Ale,157,13.4,1,National,No,1,5
Sierra Nevada Early Spring Beer,190,16.7,1,National,No,1,5.9
Sierra Nevada Harvest Ale,215,19.3,1,National,No,1,6.7
Sierra Nevada India Pale Ale,231,20,1,National,No,1,6.9
Sierra Nevada Pale Ale,175,14.1,1,National,No,1,5.6
Sierra Nevada Pale Bock,218,19.7,1,National,No,1,7
Sierra Nevada Porter,194,18.4,1,National,No,1,5.6
Sierra Nevada Stout,225,22.3,1,National,No,1,5.8
Sierra Nevada Summerfest Beer,158,13.7,1,National,No,1,5
Sierra Nevada Wheat Beer,153,13.1,1,National,No,1,4.4
Southpaw Light,123,6.6,1,National,Yes,1,5
Stroh's Beer,149,12,1,National,No,1,4.6
