sex,tv,computer,sleep,height,momheight,dadheight,exercise,gpa
Female,13,10,3.5,66,66,71,10,4
Male,20,7,9,72,64,65,2,2.3
Male,15,15,6,68,62,74,3,2.6
Male,8,20,6,68,59,70,6,2.8
Female,2.5,10,5,64,65,70,6.5,2.62
Male,2,14,9,68.5,60,68,2,2.2
Female,4,28,8.5,69,66,76,3,3.78
Female,8,10,7,66,63,70,4.5,3.2
Male,1,15,8,70,68,71,3,3.31
Male,8,25,4.5,67,63,66,6,3.39
Male,3.5,9,8,68,62,64,8,3
Female,11,20,5,68,64,69,0,2.5
Male,10,14,8,68,61,72,10,2.8
Male,1,84,5,61,62,62,3,2.34
Female,10,11,9,65,62,66,5,
Female,10,1,9,64,70,73,4,2.4
Female,1,5,6.5,65,70,75,3,1.05
Male,2,6,5,71,62,69,20,3.25
Male,40,4,4,68,54,68,4.5,3.5
Male,10,10,8.5,77,64,74,10,2.2
Female,30,30,9.5,68,68,69,1,2.5
Male,1.5,8,8.5,67,64,66,5,
Male,10,12,9,75,68,73,7,3
Male,15,5,6,72,67,71,6,3.6
Male,4,5,6.5,68,66,68,9,3.16
Male,6,6,5,72,62,70,10,2.4
Female,100,2,7,66,60,77,3,2.65
Female,15,40,5,60,59,62,10,2.6
Female,1,14,6,60,62,63,2,
Male,3.5,22.5,7,66,60,64,3,3.4
Male,10,20,8,75,64,67,5,4
Male,1,10,6.5,73,60,67,8,3
Female,1,3,7,64,60,72,3,
Female,6,3,7,70,62,74,10,3.28
Female,1.5,5.5,5.5,64,61,70,1.5,3.2
Female,4,1,7.5,63,61,70,4,2.81
Female,10,5,9,61,60,67,3,2.87
Female,18,14,7,69,65,68,5,3.19
Male,20,15,6.5,73,67,73,4,1.98
Female,4,6,6,63,64,65,4,1.9
Male,20,25,9,70,60,64,5,2.51
Male,5,20,4,70,64,68,2,3.2
Male,0,30,3.5,69,63,65,6,3.04
Male,11,17,4.5,76,66,72,4,2.5
Female,0,30,8.5,66,66,66,2,2
Female,1,8.5,7,65,64,70,4,2.6
Female,2,10,11,64,62,68,2,3.06
Female,8,7,8,66,64,73,6,2.8
Female,1,5,4,65,61,67,3,
Female,3,8,7,63,60,67,2,3.3
Female,6,3,4.5,63,64,74,5.5,3.2
Female,10,7,4,65,62,75,2,3.5
Female,15,25,7,66,64,70,5,3
Female,15,6,9.5,67,64,70,2,2.5
Male,12,12,5,69,60,67,6,2.4
Female,4,17.5,9,62,60,60,2,2.14
Male,15,30,8,68,65,66,10,3
Female,21,3,8,64,63,74,10,3.73
Female,4,10,8.5,63,62,68,2,3
Female,4,21,6.5,64,62,69,3,2.23
Female,8,20,5,63,58,74,2,2.3
Male,2,7,7.5,69,65,68,6,2.58
Male,4,10,8,73,67,72,6,3.5
Male,10,5,2,66,60,65,1,
Female,2,10,5.25,62.5,65,71.5,8,3
Female,9,12.5,7.5,65,64,72,4.5,3.25
Male,14,28,9,67,60,67,1.5,3.16
Male,2,7.5,7.5,68,61,65,21.5,3
Female,3.5,21,6.5,69.5,66,72,3.5,3.3
Male,0,10,12,71,64,72,2,1.85
Female,10,20,6,63.5,60,67,1,2.75
Female,5.5,20,10,69,64,74,4,3.12
Male,14,14,5,70.5,62,74.8,1.5,3.24
Male,0,1,6.5,70,63,70,0,2.97
